batter,total_runs,balls_faced,innings,strike_rate,avg_runs_per_innings
SV Samson,4419,3270,162,135.1,27.3
Shahbaz Ahmed,536,467,37,114.8,14.5
Shakib Al Hasan,795,665,52,119.5,15.3
Shubman Gill,3216,2432,99,132.2,32.5
TH David,659,417,35,158.0,18.8
TL Suman,676,587,39,115.2,17.3
TM Dilshan,1153,1047,50,110.1,23.1
Tilak Varma,1156,830,38,139.3,30.4
UT Yadav,208,211,48,98.6,4.3
V Kohli,8014,6236,244,128.5,32.8
V Sehwag,2728,1833,104,148.8,26.2
V Shankar,1115,890,58,125.3,19.2
VR Iyer,1326,1000,49,132.6,27.1
WP Saha,2934,2368,143,123.9,20.5
Washington Sundar,378,341,38,110.9,9.9
Y Venugopal Rao,985,865,52,113.9,18.9
YBK Jaiswal,1607,1095,52,146.8,30.9
YK Pathan,3222,2334,153,138.0,21.1
Yuvraj Singh,2754,2207,126,124.8,21.9
