bowler,wickets,runs_conceded,balls_bowled,matches,economy,bowling_sr
Shahbaz Ahmed,21,850,549,42,9.29,26.1
Shakib Al Hasan,71,1864,1515,70,7.38,21.3
Shivam Mavi,33,958,687,32,8.37,20.8
T Natarajan,76,2001,1401,61,8.57,18.4
TA Boult,128,3286,2428,103,8.12,19.0
TG Southee,57,1774,1262,54,8.43,22.1
TU Deshpande,46,1275,831,36,9.21,18.1
UT Yadav,163,4442,3190,147,8.35,19.6
Umran Malik,31,785,519,26,9.08,16.7
VG Arora,20,598,418,20,8.58,20.9
VR Aaron,46,1527,1065,50,8.6,23.2
WD Parnell,40,968,758,33,7.66,19.0
Washington Sundar,39,1335,1064,58,7.53,27.3
YK Pathan,46,1443,1184,82,7.31,25.7
YS Chahal,213,4681,3628,159,7.74,17.0
Yash Dayal,31,933,615,28,9.1,19.8
Yuvraj Singh,39,1091,882,73,7.42,22.6
Z Khan,119,2860,2276,99,7.54,19.1
